app_id,game_name,genre
388880,Oxenfree,Adventure Indie
424840,Little Nightmares,Adventure
403570,Stigmat,Adventure Indie
582280,PIGMENTUM,Casual Indie
225160,Shadow Warrior Classic Redux,Action
533820,Atonement 2: Ruptured by Despair,RPG
535230,Domina,Action Indie
407840,Guardians of Orion (Phase 1),Action Indie
227860,Castle Story,Indie Strategy
540900,Nuclear Contingency,Action Adventure
384300,CPUCores :: Maximize Your FPS,Design & Illustration Utilities
567250,Cat Goes Platform,Action Casual
221810,The Cave,Adventure
421020,DiRT 4,Racing Simulation
434460,Rock of Ages 2: Bigger & Boulder,Action Indie
563120,Desolate Wastes: Vendor Chronicles,Action Casual
557680,Germ Wars,Action Casual
63700,BIT.TRIP BEAT,Action Casual
356310,METAL SLUG DEFENSE,Action Free to Play
619400,Fluffy Creatures VS The World,Action Adventure
378860,Project CARS 2,Racing
491260,Take Thy Throne,Action Adventure
402560,Tabletopia,Casual Free to Play
433950,Bit Blaster XL,Action Casual
574640,Unalive,Action Indie
519190,Next Day: Survival,Action Indie
493650,Deep Space Dash,Action Casual
327680,Grind Zones,Action Adventure
391260,Labyronia RPG,Action Adventure
515470,Hyper color ball,Casual Indie
314410,Rampage Knights,Action Adventure
540020,Final Quest II,Indie RPG
260430,The Four Kings Casino and Slots,Casual Free to Play
237630,DuckTales: Remastered,Action Adventure
20820,Shatter,Action Indie
411300,ELEX,Action Adventure
251150,The Legend of Heroes: Trails in the Sky,RPG
449530,Grand Pigeon's Duty,Action Adventure
115800,Owlboy,Action Adventure
284950,Pixel Puzzles: Japan,Casual Indie
252850,Streamline,Action Indie
220740,Chaos on Deponia,Adventure Indie
666140,My Time At Portia,Adventure Casual
509110,Spikit,Casual Indie
629280,Run Away,Adventure Casual
40980,Stronghold Legends: Steam Edition,Simulation Strategy
619080,SOS,Action Adventure
38720,RUSH,Casual Indie
384180,Prominence Poker,Free to Play Massively Multiplayer
627690,Idle Champions of the Forgotten Realms,Action Adventure
214790,The Basement Collection,Adventure Indie
513450,Drop Alive,Casual Free to Play
438640,LEGO STAR WARS: The Force Awakens,Action Adventure
555220,Detention,Adventure Indie
545700,The Land of Dasthir,Adventure Indie
491650,Reset 1-1,Indie
298050,Master of Orion,Strategy
538590,Sleeping Valley,Action Adventure
515690,Warriors of Vilvatikta,Adventure Indie
308420,Ziggurat,Action Indie
224900,Iron Sky: Invasion,Action Simulation
293780,Crawl,Action Indie
295550,Royal Quest,Free to Play Massively Multiplayer
275100,Shelter 2,Adventure Casual
311860,Data Hacker: Initiation,Adventure Indie
250260,Jazzpunk: Director's Cut,Adventure Indie
558610,Mad Hunter,
73010,Cities in Motion,Simulation
298900,Space Hulk: Deathwing,Action Adventure
409510,Genesis Online,Action Free to Play
261760,Lichdom: Battlemage,Action Indie
449220,A grande bagunça espacial - The big space mess,Action Casual
322190,SteamWorld Heist,Action Adventure
526460,KickHim,Action Adventure
245370,Etherium,Strategy
512250,Oh...Sir!! The Insult Simulator,Indie Simulation
304730,Train Fever,Casual Indie
215870,Dungeon-Party,Free to Play Massively Multiplayer
312610,METAL SLUG X,Action
368070,Sniper Ghost Warrior 3,Action
491950,Orwell: Keeping an Eye On You,Adventure Indie
344850,Big Pharma,Indie Simulation
606330,Shadows 2: Perfidia,Action Adventure
241240,Contraption Maker,Casual Indie
274290,Gods Will Be Watching,Adventure Indie
250340,Blockland,Action Indie
249870,Scribblenauts Unmasked: A DC Comics Adventure,Action Adventure
496500,Moon Colonization Project,Adventure Casual
243800,Gas Guzzlers Extreme,Action Racing
712100,Total War Saga: THRONES OF BRITANNIA,Action Strategy
252110,Lovers in a Dangerous Spacetime,Action Indie
375010,Energy Balance,Casual Indie
214550,Eets Munchies,Casual Indie
453850,Dear RED - Extended,Indie RPG
485220,The Orb Chambers,Action Casual
372360,Tales of Symphonia,RPG
410110,12 is Better Than 6,Action Indie
422250,ShipLord,Action Adventure
591560,Red Death,Action Indie
575860,Tomb Joe,Action Adventure
298160,Eldevin,Casual Free to Play
497350,Conclusion,Adventure Casual
219910,Edna & Harvey: Harvey's New Eyes,Adventure Indie
565340,ZombieCarz,
423230,Furi,Action
503560,911 Operator,Casual Indie
526160,The Wild Eight,Action Adventure
243120,Betrayer,Action Adventure
301970,Screencheat,Action Indie
399790,Destiny Warriors RPG,Adventure Indie
381990,Dragon Saga,Action Adventure
211260,They Bleed Pixels,Action Indie
581640,Numberline,Casual Indie
